horsepower3,displacement,gears,torque_log,age,fuel_consumption_km_l
3581577,2.0,6.0,4.955827057601261,8,12.0
3375000,1.4,6.0,5.214935757608986,7,12.0
1953125,1.4,7.0,4.997212273764115,7,15.0
2460375,1.4,6.0,5.0106352940962555,10,14.0
3241792,2.0,6.0,4.969813299576001,6,15.0
614125,1.3,5.0,4.499809670330265,5,11.0
5359375,1.6,8.0,5.214935757608986,9,13.0
531441,1.2,5.0,4.382026634673881,6,18.0
3375000,1.4,7.0,5.214935757608986,6,14.0
3375000,1.4,7.0,5.214935757608986,6,14.0
1191016,1.6,4.0,4.653960350157523,10,18.0
5929741,2.0,9.0,5.3981627015177525,7,13.0
5929741,2.0,8.0,5.293304824724492,9,13.0
6644672,2.5,6.0,5.225746673713202,5,14.0
3375000,1.4,7.0,5.214935757608986,7,14.0
2744000,2.0,4.0,4.969813299576001,5,12.0
1225043,1.5,6.0,4.6443908991413725,6,16.0
3375000,1.4,6.0,5.214935757608986,4,15.0
2197000,1.5,6.0,4.736198448394496,7,15.0
1331000,1.2,6.0,4.553876891600541,8,17.0
2248091,2.0,6.0,4.955827057601261,7,14.0
5929741,2.0,8.0,5.293304824724492,10,13.0
3176523,2.0,6.0,4.882801922586371,7,17.0
1771561,1.6,6.0,4.709530201312334,7,15.0
1157625,1.6,4.0,4.672828834461906,7,12.0
5177717,2.4,4.0,5.111987788356544,6,10.0
6331625,2.4,6.0,5.181783550292085,6,12.0
5832000,1.8,7.0,5.214935757608986,9,11.0
1520875,1.6,5.0,4.736198448394496,4,15.0
6434856,2.5,6.0,5.225746673713202,5,9.0
3241792,2.0,6.0,4.969813299576001,6,15.0
6644672,2.5,6.0,5.214935757608986,7,14.0
1225043,1.5,6.0,4.6443908991413725,5,16.0
1520875,2.0,5.0,4.8283137373023015,10,9.0
4410944,2.5,5.0,5.117993812416755,4,9.0
6644672,2.5,6.0,5.214935757608986,7,9.0
3723875,2.0,6.0,4.997212273764115,10,15.0
1771561,1.6,6.0,4.718498871295094,4,14.0
551368,1.2,5.0,4.418840607796598,6,19.0
23149125,3.6,5.0,5.560681631015528,9,8.0
1124864,1.6,5.0,4.6913478822291435,6,15.0
1815848,1.4,7.0,4.997212273764115,10,15.0
3176523,2.0,6.0,4.882801922586371,5,15.0
1124864,1.6,5.0,4.727387818712341,11,13.0
74088000,6.2,8.0,6.1092475827643655,8,7.0
3375000,1.4,6.0,5.214935757608986,5,15.0
531441,1.2,5.0,4.382026634673881,5,18.0
1771561,1.5,6.0,4.6913478822291435,6,17.0
4410944,2.0,6.0,4.983606621708336,5,9.0
1771561,1.6,6.0,4.718498871295094,5,14.0
33698267,3.6,6.0,5.627621113690637,10,10.0
531441,1.2,5.0,4.382026634673881,13,18.0
1520875,2.0,5.0,4.8283137373023015,12,12.0
18821096,3.5,6.0,5.501258210544727,11,9.0
2515456,1.5,6.0,5.087596335232384,4,17.0
531441,1.2,5.0,4.382026634673881,10,18.0
5832000,1.8,7.0,5.214935757608986,10,11.0
2744000,1.8,5.0,4.852030263919617,12,16.0
5088448,2.4,6.0,5.10594547390058,11,11.0
1771561,1.6,6.0,4.709530201312334,6,15.0
1771561,1.6,6.0,4.709530201312334,3,14.0
33698267,3.6,6.0,5.627621113690637,11,10.0
23887872,3.6,6.0,5.598421958998375,10,9.0
3723875,2.0,6.0,4.997212273764115,10,14.0
2146689,1.8,6.0,4.852030263919617,8,14.0
1030301,1.4,5.0,4.584967478670572,10,15.0
1124864,1.6,6.0,4.727387818712341,7,14.0
614125,1.4,5.0,4.499809670330265,7,14.0
970299,1.6,5.0,4.653960350157523,11,14.0
2744000,1.8,6.0,4.859812404361672,10,15.0
4741632,2.5,6.0,5.176149732573829,11,11.0
3581577,2.0,6.0,4.997212273764115,7,14.0
3581577,1.4,6.0,5.176149732573829,9,17.0
1191016,1.6,4.0,4.653960350157523,7,18.0
1061208,1.5,4.0,4.59511985013459,7,13.0
5545233,2.4,5.0,5.099866427824199,12,8.0
1225043,1.6,5.0,4.6443908991413725,5,17.0
3723875,2.0,6.0,4.997212273764115,10,9.0
3723875,2.0,6.0,4.997212273764115,9,14.0
5832000,1.8,7.0,5.214935757608986,11,11.0
2299968,1.8,4.0,4.852030263919617,11,15.0
328509,1.0,5.0,4.219507705176107,6,15.0
15625000,3.5,6.0,5.53338948872752,10,6.0
2197000,1.2,6.0,4.948759890378168,4,16.0
1191016,1.5,6.0,4.634728988229636,8,17.0
1225043,1.6,5.0,4.6443908991413725,5,17.0
592704,1.0,5.0,4.48863636973214,10,16.0
1953125,1.4,7.0,4.997212273764115,9,15.0
2628072,1.8,5.0,4.859812404361672,9,13.0
438976,1.2,5.0,4.30406509320417,5,20.0
1000000,1.4,5.0,4.584967478670572,11,19.0
1225043,1.5,6.0,4.6443908991413725,6,17.0
1191016,1.5,6.0,4.634728988229636,9,14.0
1157625,1.6,6.0,4.727387818712341,4,14.0
1771561,1.6,6.0,4.709530201312334,5,16.0
5929741,2.0,6.0,5.017279836814924,6,13.0
2803221,1.8,6.0,4.844187086458591,6,13.0
1191016,1.6,5.0,4.653960350157523,5,16.0
3375000,2.0,6.0,4.955827057601261,8,15.0
1225043,1.6,4.0,4.6443908991413725,7,16.0
1191016,1.6,4.0,4.653960350157523,6,18.0
1771561,1.6,6.0,4.709530201312334,7,15.0
2197000,1.8,6.0,4.897839799950911,8,12.0
1157625,1.6,6.0,4.727387818712341,5,14.0
1191016,1.6,5.0,4.653960350157523,7,16.0
1520875,2.0,6.0,4.8283137373023015,7,12.0
1092727,1.5,4.0,4.624972813284271,5,15.0
4574296,2.5,6.0,5.181783550292085,5,9.0
1030301,1.4,6.0,4.584967478670572,11,14.0
1520875,2.0,5.0,4.8283137373023015,8,12.0
5177717,2.4,4.0,5.111987788356544,11,8.0
2744000,1.8,5.0,4.852030263919617,10,10.0
1728000,1.6,6.0,4.718498871295094,7,14.0
1728000,1.6,6.0,4.718498871295094,8,14.0
3581577,2.0,6.0,4.955827057601261,9,12.0
