fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age
14,4x2,Manual,150,Gasolina,2.0,6,Combustión,142,No,Kia,7
13,4x2,Automático,150,Gasolina,2.0,6,Combustión,141,No,Kia,8
9,4x2,Automático,104,Gasolina,1.6,6,Combustión,113,No,Volkswagen,7
9,4x2,Automático,186,Gasolina,2.5,6,Combustión,186,No,Mazda,4
12,4x2,Automático,172,estándar,2.4,6,Combustión,165,No,Jeep,9
9,4x2,Automático,188,Gasolina,2.5,6,Combustión,184,No,Mazda,8
13,4x2,Automático,115,estándar,1.6,6,Combustión,114,No,Chevrolet,10
11,4x2,Automático,168,Gasolina,2.5,6,Combustión,177,No,Volkswagen,8
9,4x2,Automático,168,estándar,2.5,6,Combustión,170,No,Ford,8
14,4x2,Manual,105,estándar,1.6,5,Combustión,113,No,Volkswagen,5
13,4x2,Automático,192,estándar,2.0,6,Combustión,207,Sí,Mini,9
11,4x2,Automático,168,Gasolina,2.5,6,Combustión,177,No,Volkswagen,8
15,4x2,Automático,148,Gasolina,2.0,6,Combustión,141,No,Mazda,8
14,4x2,Automático,188,estándar,2.5,6,Combustión,186,No,Mazda,6
13,4x2,Automático,115,Gasolina,1.6,6,Combustión,114,No,Chevrolet,9
15,4x2,Automático,110,estándar,1.6,6,Combustión,114,No,Seat,9
15,4x2,Automático,110,Gasolina,1.6,6,Combustión,114,No,Seat,5
11,4x2,Automático,168,Gasolina,2.5,6,Combustión,177,No,Volkswagen,9
16,4x2,Manual,118,Gasolina,1.6,5,Combustión,110,No,Nissan,4
9,4x2,Automático,290,estándar,3.5,6,Combustión,255,No,Ford,11
10,4x4,Automático,380,estándar,3.0,8,Eléctrico,428,Sí,Porsche,12
14,4x2,Automático,155,Gasolina,2.0,6,Combustión,148,No,Mazda,11
15,4x2,Automático,201,Gasolina,2.5,8,Combustión,178,No,Toyota,6
16,4x2,Automático,158,estándar,2.0,0,Combustión,138,No,Honda,6
9,4x2,Automático,188,Gasolina,2.5,6,Combustión,184,No,Mazda,8
14,4x2,Manual,131,Gasolina,2.0,6,Combustión,142,No,Renault,8
15,4x2,Automático,148,estándar,2.0,6,Combustión,141,No,Mazda,8
11,4x2,Automático,189,estándar,2.0,7,Combustión,207,Sí,Bmw,7
9,4x2,Automático,177,estándar,2.4,5,Combustión,164,No,Honda,11
12,4x2,Automático,153,Gasolina,2.0,6,Combustión,142,No,Kia,8
12,4x2,Automático,150,estándar,1.4,6,Combustión,184,Sí,Audi,7
11,4x2,Automático,168,Gasolina,2.5,6,Combustión,177,No,Volkswagen,8
15,4x2,Automático,125,Gasolina,1.4,7,Combustión,148,Sí,Audi,7
15,4x2,Automático,118,Gasolina,1.5,0,Combustión,107,No,Honda,7
13,4x2,Automático,169,Gasolina,2.5,0,Combustión,172,No,Nissan,7
9,4x2,Automático,140,Gasolina,1.8,0,Combustión,126,No,Toyota,6
14,4x2,Automático,135,Gasolina,1.4,6,Combustión,150,Sí,Fiat,10
15,4x2,Automático,148,Gasolina,2.0,6,Combustión,144,No,Mazda,6
11,4x2,Manual,85,Gasolina,1.3,5,Combustión,90,No,Fiat,5
13,4x2,Automático,175,Gasolina,1.6,8,Combustión,184,Sí,Bmw,9
18,4x2,Manual,81,Gasolina,1.2,5,Combustión,80,No,Chevrolet,6
14,4x2,Automático,150,estándar,1.4,7,Combustión,184,Sí,Audi,6
14,4x2,Automático,150,Gasolina,1.4,7,Combustión,184,Sí,Audi,6
18,4x2,Automático,106,Gasolina,1.6,4,Combustión,105,No,Nissan,10
13,4x2,Automático,181,Gasolina,2.0,9,Combustión,221,Sí,Mercedes Benz,7
13,4x2,Automático,181,estándar,2.0,8,Combustión,199,Sí,Bmw,9
14,4x2,Automático,188,Gasolina,2.5,6,Combustión,186,No,Mazda,5
14,4x2,Automático,150,estándar,1.4,7,Combustión,184,Sí,Audi,7
13,4x2,Automático,181,Gasolina,2.0,9,Combustión,221,Sí,Mercedes Benz,7
12,4x2,Automático,140,Gasolina,2.0,4,Combustión,144,No,Renault,5
16,4x2,Automático,107,Gasolina,1.5,6,Combustión,104,No,Chevrolet,6
15,4x2,Automático,150,Gasolina,1.4,6,Combustión,184,Sí,Volkswagen,4
15,4x2,Manual,130,estándar,1.5,6,Combustión,114,No,Honda,7
15,4x2,Automático,118,Gasolina,1.5,0,Combustión,107,No,Honda,6
17,4x2,Manual,110,Gasolina,1.2,6,Combustión,95,Sí,Seat,8
14,4x2,Manual,131,Gasolina,2.0,6,Combustión,142,No,Renault,7
17,4x2,Automático,130,estándar,1.5,0,Combustión,114,No,Honda,6
13,4x2,Automático,181,estándar,2.0,8,Combustión,199,Sí,Bmw,10
17,4x2,Automático,147,Gasolina,2.0,6,Combustión,132,No,Hyundai,7
15,4x2,Automático,121,Gasolina,1.6,6,Combustión,111,No,Kia,7
13,4x2,Automático,170,Gasolina,2.5,0,Combustión,172,No,Nissan,8
12,4x2,Automático,105,estándar,1.6,4,Combustión,107,No,Renault,7
10,4x2,Automático,173,Gasolina,2.4,4,Combustión,166,No,Dodge,6
12,4x2,Automático,185,Gasolina,2.4,6,Combustión,178,No,Kia,6
11,4x2,Automático,180,Gasolina,1.8,7,Combustión,184,Sí,Audi,9
15,4x2,Manual,115,Gasolina,1.6,5,Combustión,114,No,Renault,4
11,4x2,Automático,180,Gasolina,1.8,7,Combustión,184,Sí,Audi,9
9,4x2,Automático,186,Gasolina,2.5,6,Combustión,186,No,Mazda,5
15,4x2,Automático,148,estándar,2.0,6,Combustión,144,No,Mazda,6
14,4x2,Manual,188,Gasolina,2.5,6,Combustión,184,No,Mazda,7
20,4x2,Automático,76,Gasolina,1.2,0,Combustión,74,No,Dodge,3
16,4x2,Automático,107,Gasolina,1.5,6,Combustión,104,No,Chevrolet,5
9,4x2,Manual,115,Gasolina,2.0,5,Combustión,125,No,Seat,10
9,4x2,Manual,164,Gasolina,2.5,5,Combustión,167,No,Ford,4
9,4x2,Automático,188,Gasolina,2.5,6,Combustión,184,No,Mazda,7
15,4x2,Manual,155,Gasolina,2.0,6,Combustión,148,No,Mazda,10
14,4x2,Automático,121,Gasolina,1.6,6,Combustión,112,No,Kia,4
16,4x2,Automático,158,Gasolina,2.0,0,Combustión,138,Sí,Honda,5
19,4x2,Manual,82,Gasolina,1.2,5,Combustión,83,No,Suzuki,6
8,4x4,Automático,285,Gasolina,3.6,5,Combustión,260,No,Jeep,9
18,4x2,Automático,118,Gasolina,1.5,0,Combustión,107,No,Honda,8
15,4x2,Manual,104,Gasolina,1.6,5,Combustión,109,No,Renault,6
15,4x2,Automático,122,Gasolina,1.4,7,Combustión,148,Sí,Audi,10
16,4x2,Automático,107,Gasolina,1.5,6,Combustión,104,No,Chevrolet,6
15,4x2,Manual,147,Gasolina,2.0,6,Combustión,132,No,Kia,5
13,4x2,Automático,152,Gasolina,2.0,0,Combustión,146,No,Mitsubishi,10
13,4x2,Manual,104,Gasolina,1.6,5,Combustión,113,No,Volkswagen,11
7,4x4,Automático,420,estándar,6.2,8,Combustión,450,No,Gmc,8
15,4x2,Automático,150,Gasolina,1.4,6,Combustión,184,Sí,Volkswagen,5
18,4x2,Manual,81,Gasolina,1.2,5,Combustión,80,No,Chevrolet,5
17,4x2,Automático,121,Gasolina,1.5,6,Combustión,109,No,Ford,6
9,4x2,Automático,164,Gasolina,2.0,6,Combustión,146,No,Ford,5
14,4x2,Automático,121,Gasolina,1.6,6,Combustión,112,No,Kia,5
10,4x2,Automático,323,Gasolina,3.6,6,Combustión,278,No,Chevrolet,10
9,4x2,Automático,185,Gasolina,2.4,0,Combustión,181,No,Honda,9
18,4x2,Manual,81,Gasolina,1.2,5,Combustión,80,No,Chevrolet,13
17,4x2,Automático,129,Gasolina,1.8,0,Combustión,128,No,Nissan,9
12,4x2,Manual,115,estándar,2.0,5,Combustión,125,No,Seat,12
9,4x2,Automático,266,Gasolina,3.5,6,Combustión,245,No,Toyota,11
17,4x2,Automático,129,Gasolina,1.8,0,Combustión,128,No,Nissan,8
17,4x2,Manual,136,Gasolina,1.5,6,Combustión,162,Sí,Mini,4
13,4x2,Automático,169,Gasolina,2.5,0,Combustión,172,No,Nissan,6
18,4x2,Manual,81,Gasolina,1.2,5,Combustión,80,No,Chevrolet,10
11,4x2,Automático,180,Gasolina,1.8,7,Combustión,184,Sí,Audi,10
16,4x2,Automático,140,Gasolina,1.8,5,Combustión,128,No,Honda,12
13,4x2,Automático,169,Gasolina,2.5,0,Combustión,172,No,Nissan,7
11,4x2,Automático,172,Gasolina,2.4,6,Combustión,165,No,Jeep,11
15,4x2,Automático,121,Gasolina,1.6,6,Combustión,111,No,Kia,6
14,4x2,Automático,121,Gasolina,1.6,6,Combustión,111,No,Kia,3
10,4x2,Automático,323,estándar,3.6,6,Combustión,278,No,Chevrolet,11
9,4x4,Automático,288,estándar,3.6,6,Combustión,270,No,Buick,10
14,4x2,Automático,155,Gasolina,2.0,6,Combustión,148,No,Mazda,10
17,4x2,Automático,129,Gasolina,1.8,0,Combustión,128,No,Nissan,7
14,4x2,Manual,129,Gasolina,1.8,6,Combustión,128,No,Nissan,8
