fuel_consumption_km_l,traccion,transmision,horsepower,fuel_type,displacement,gears,engine_type,torque,turbo,brand,age
12.0,4x2,Automático,131,Gasolina,2.0,4.0,Combustión,142,No,Renault,7
10.0,4x2,Automático,188,Gasolina,2.5,6.0,Combustión,185,No,Mazda,7
12.0,4x4,Automático,170,Gasolina,2.0,7.0,Combustión,153,Sí,Audi,12
9.0,4x2,Automático,170,Gasolina,1.5,6.0,Combustión,203,Sí,Chevrolet,5
7.0,4x4,Automático,242,Gasolina,2.0,8.0,Combustión,285,Sí,Bmw,11
19.0,4x2,Manual,110,Gasolina,1.0,5.0,Combustión,125,Sí,Suzuki,5
17.0,4x2,Automático,138,Gasolina,1.4,7.0,Combustión,184,Sí,Volkswagen,10
9.0,4x2,Automático,281,Gasolina,3.6,6.0,Combustión,266,No,Chevrolet,11
9.0,4x2,Automático,268,Gasolina,3.5,6.0,Combustión,248,No,Toyota,8
11.0,4x2,Automático,242,Gasolina,2.0,8.0,Combustión,258,Sí,Bmw,8
15.0,4x2,Automático,110,Gasolina,1.6,6.0,Combustión,114,No,Seat,5
15.0,4x2,Automático,156,Gasolina,1.6,7.0,Combustión,184,Sí,Mercedes Benz,11
12.0,4x2,Automático,180,Gasolina,2.4,6.0,Combustión,175,No,Jeep,5
13.0,4x2,Automático,192,Gasolina,2.0,8.0,Combustión,207,Sí,Mini,7
15.0,4x2,Automático,125,Gasolina,1.4,7.0,Combustión,148,Sí,Audi,8
13.0,4x2,Automático,197,Gasolina,2.5,6.0,Combustión,191,No,Chevrolet,12
14.0,4x2,Automático,110,Gasolina,1.6,6.0,Combustión,114,No,Volkswagen,4
17.0,4x2,Automático,147,Gasolina,2.0,6.0,Combustión,132,No,Hyundai,8
15.0,4x2,Automático,140,Gasolina,1.8,6.0,Combustión,129,No,Chevrolet,6
14.0,4x2,Automático,110,Estándar,1.6,6.0,Combustión,114,No,Seat,5
8.0,4x2,Automático,283,Gasolina,3.6,6.0,Combustión,260,No,Dodge,7
14.0,4x2,Automático,150,Gasolina,1.4,8.0,Combustión,184,Sí,Audi,3
15.0,4x2,Manual,110,Gasolina,1.6,5.0,Combustión,114,No,Seat,6
8.0,4x2,Manual,188,Gasolina,2.5,6.0,Combustión,184,No,Mazda,7
14.0,4x2,Automático,155,Gasolina,2.0,6.0,Combustión,143,No,Hyundai,7
12.0,4x2,Automático,130,Gasolina,1.8,6.0,Combustión,134,No,Jeep,6
8.0,4x2,Automático,355,Estándar,5.3,6.0,Combustión,383,No,Chevrolet,9
7.0,4x4,Automático,403,Estándar,6.2,6.0,Combustión,417,No,Gmc,12
13.0,4x2,Manual,188,Gasolina,1.6,6.0,Combustión,177,Sí,Nissan,6
12.0,4x2,Automático,113,Estándar,1.6,5.0,Combustión,117,No,Fiat,6
9.0,4x2,Automático,290,Estándar,3.6,5.0,Combustión,260,No,Jeep,14
